what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1329899826855
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1329899826857
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1329899826858
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1329899826858
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1329899826859
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1329899826860
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1329899826860
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1329899826860
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1329899826860
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1329899826860
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1329899826860
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1329899826860
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1329899826861
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1329899826862
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1329899826862
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1329899826862
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1329899826862
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1329899826863
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1329899826863
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1329899826863
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1329899826864
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1329899826866
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.101.R37x_v20110714,"org.eclipse.equinox.p2.artifact.repository",1329899826866
started,bundle,org.eclipse.equinox.p2.core,2.1.0.v20110502-1955,"org.eclipse.equinox.p2.core",1329899826868
started,bundle,org.eclipse.equinox.p2.director,2.1.0.v20110504-1715,"org.eclipse.equinox.p2.director",1329899826869
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.directorywatcher",1329899826871
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.v20110511,"org.eclipse.equinox.p2.engine",1329899826871
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.100.v20110510,"org.eclipse.equinox.p2.extensionlocation",1329899826871
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1329899826871
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110510,"org.eclipse.equinox.p2.metadata",1329899826873
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1329899826873
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1329899826874
started,bundle,org.eclipse.equinox.p2.publisher,1.2.0.v20110511,"org.eclipse.equinox.p2.publisher",1329899826875
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1329899826875
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1329899826876
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.1.R37x_v20110815-0935,"org.eclipse.equinox.p2.touchpoint.eclipse",1329899826876
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20110510,"org.eclipse.equinox.p2.transport.ecf",1329899826877
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.300.v20110510,"org.eclipse.equinox.p2.updatesite",1329899826878
started,bundle,org.eclipse.equinox.preferences,3.4.1.R37x_v20110725,"org.eclipse.equinox.preferences",1329899826878
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1329899826878
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1329899826878
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1329899826879
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1329899826879
started,bundle,org.eclipse.jdt.core,3.7.1.v_B76_R37x,"org.eclipse.jdt.core",1329899826880
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1329899826880
started,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1329899826880
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1329899826880
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1329899826880
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1329899826880
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1329899826880
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1329899826881
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1329899826881
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1329899826881
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1329899826881
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1329899826881
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1329899826881
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1329899826881
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1329899826881
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1329899826881
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1329899826882
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1329899826882
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1329899826882
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1329899826882
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1329899826882
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1329899826882
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1329899826882
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1329899826882
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1329899826882
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1329899826882
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1329899826884
os,sysinfo,,,"win32",1329899826891
arch,sysinfo,,,"x86_64",1329899826891
ws,sysinfo,,,"win32",1329899826891
locale,sysinfo,,,"fr_FR",1329899826891
processors,sysinfo,,,"4",1329899826891
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1329899826891
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1329899826891
java.specification.name,sysinfo,,,"Java Platform API Specification",1329899826891
java.specification.vendor,sysinfo,,,"Oracle Corporation",1329899826891
java.specification.version,sysinfo,,,"1.7",1329899826891
java.vendor,sysinfo,,,"Oracle Corporation",1329899826891
java.version,sysinfo,,,"1.7.0_02",1329899826891
java.vm.info,sysinfo,,,"mixed mode",1329899826891
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1329899826891
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1329899826891
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1329899826891
java.vm.specification.version,sysinfo,,,"1.7",1329899826891
java.vm.vendor,sysinfo,,,"Oracle Corporation",1329899826891
java.vm.version,sysinfo,,,"22.0-b10",1329899826891
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1329899826896
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1329899827056
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1329899827057
started,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1329899827082
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1329899827121
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1329899827124
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1329899827545
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1329899827546
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1329899827861
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1329899827861
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1329899827923
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1329899828007
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1329899828151
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1329899828257
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329906613175
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329916345305
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1329916349136
started,bundle,org.eclipse.equinox.p2.ui,2.1.0.v20110601,"org.eclipse.equinox.p2.ui",1329916349168
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1329916349328
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1329916349416
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1329916349525
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1329916349535
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329916349978
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1329916731081
started,bundle,org.eclipse.equinox.p2.publisher.eclipse,1.0.0.v20110511,"org.eclipse.equinox.p2.publisher.eclipse",1329916737018
error,log,,,"Provisioning exception",1329916738258
error,log,,,"Error reading feature http://eclipsecorba.sourceforge.net/update/net.sf.eclipsecorba_0.3.0.jar.",1329916738260
error,log,,,"Provisioning exception",1329916739002
error,log,,,"Error reading feature http://eclipsecorba.sourceforge.net/update/net.sf.eclipsecorba_0.3.1.jar.",1329916739004
error,log,,,"Provisioning exception",1329916739693
error,log,,,"Error reading feature http://eclipsecorba.sourceforge.net/update/net.sf.eclipsecorba_0.3.2.jar.",1329916739709
error,log,,,"Provisioning exception",1329916740422
error,log,,,"Error reading feature http://eclipsecorba.sourceforge.net/update/net.sf.eclipsecorba_0.4.0.jar.",1329916740424
error,log,,,"Provisioning exception",1329916742649
error,log,,,"Error reading feature http://eclipsecorba.sourceforge.net/update/net.sf.eclipsecorba_0.3.0.jar.",1329916742651
error,log,,,"Provisioning exception",1329916743362
error,log,,,"Error reading feature http://eclipsecorba.sourceforge.net/update/net.sf.eclipsecorba_0.3.1.jar.",1329916743364
error,log,,,"Provisioning exception",1329916744066
error,log,,,"Error reading feature http://eclipsecorba.sourceforge.net/update/net.sf.eclipsecorba_0.3.2.jar.",1329916744067
error,log,,,"Provisioning exception",1329916744774
error,log,,,"Error reading feature http://eclipsecorba.sourceforge.net/update/net.sf.eclipsecorba_0.4.0.jar.",1329916744775
error,log,,,"Provisioning exception",1329916745524
error,log,,,"Error reading feature http://eclipsecorba.sourceforge.net/update/net.sf.eclipsecorba_0.4.1.jar.",1329916745525
error,log,,,"Provisioning exception",1329916746217
error,log,,,"Error reading feature http://eclipsecorba.sourceforge.net/update/net.sf.eclipsecorba_0.5.5.jar.",1329916746218
error,log,,,"Provisioning exception",1329916748026
error,log,,,"Error reading feature http://eclipsecorba.sourceforge.net/update/net.sf.eclipsecorba_0.5.6.123.jar.",1329916748028
error,log,,,"Provisioning exception",1329916750571
error,log,,,"Error reading feature http://eclipsecorba.sourceforge.net/update/features/net.sf.eclipsecorba_0.7.0.182.jar.",1329916750572
error,log,,,"Provisioning exception",1329916751314
error,log,,,"Error reading feature http://eclipsecorba.sourceforge.net/update/features/net.sf.eclipsecorba.openorb.feature_0.7.0.182.jar.",1329916751317
error,log,,,"Provisioning exception",1329916887515
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110502-1955,"org.eclipse.equinox.frameworkadmin",1329916990200
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110502-1955,"org.eclipse.equinox.simpleconfigurator.manipulator",1329916990299
error,log,,,"Provisioning exception",1329916994764
error,log,,,"Error reading feature http://eclipsecorba.sourceforge.net/update/net.sf.eclipsecorba_0.3.0.jar.",1329916994766
error,log,,,"Provisioning exception",1329916995511
error,log,,,"Error reading feature http://eclipsecorba.sourceforge.net/update/net.sf.eclipsecorba_0.3.1.jar.",1329916995512
error,log,,,"Provisioning exception",1329916996228
error,log,,,"Error reading feature http://eclipsecorba.sourceforge.net/update/net.sf.eclipsecorba_0.3.2.jar.",1329916996230
error,log,,,"Provisioning exception",1329916996947
error,log,,,"Error reading feature http://eclipsecorba.sourceforge.net/update/net.sf.eclipsecorba_0.4.0.jar.",1329916996950
error,log,,,"Provisioning exception",1329916997704
error,log,,,"Error reading feature http://eclipsecorba.sourceforge.net/update/net.sf.eclipsecorba_0.4.1.jar.",1329916997706
error,log,,,"Provisioning exception",1329916998482
error,log,,,"Error reading feature http://eclipsecorba.sourceforge.net/update/net.sf.eclipsecorba_0.5.5.jar.",1329916998484
error,log,,,"Provisioning exception",1329917000567
error,log,,,"Error reading feature http://eclipsecorba.sourceforge.net/update/net.sf.eclipsecorba_0.5.6.123.jar.",1329917000569
error,log,,,"Provisioning exception",1329917003259
error,log,,,"Error reading feature http://eclipsecorba.sourceforge.net/update/features/net.sf.eclipsecorba_0.7.0.182.jar.",1329917003262
error,log,,,"Provisioning exception",1329917003973
error,log,,,"Error reading feature http://eclipsecorba.sourceforge.net/update/features/net.sf.eclipsecorba.openorb.feature_0.7.0.182.jar.",1329917003975
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329917780468
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.install",1329917780571
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329917780914
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329917832167
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.300.v20110506,"org.eclipse.equinox.frameworkadmin.equinox",1329917832244
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329917836562
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329918211851
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329918212700
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1329918213066
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1329918213543
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1329918213559
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1329918213913
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1329918213920
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1329918213921
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1329918213922
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1329918213925
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1329918213926
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1329918213926
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1329918213927
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1329918213927
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1329918213928
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1329918213929
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1329918213929
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1329918213930
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1329918213930
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1329918213931
stopped,bundle,org.eclipse.help.base,3.6.1.v201109091335,"org.eclipse.help.base",1329918213931
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1329918213941
stopped,bundle,org.eclipse.m2e.core.ui,1.0.100.20110804-1717,"org.eclipse.m2e.core.ui",1329918213943
stopped,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1329918213944
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1329918213944
stopped,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1329918213945
stopped,bundle,org.eclipse.ant.launching,1.0.100.v20110506,"org.eclipse.ant.launching",1329918213945
